0.14438,0.10346,-0.021332,0.022087,0.0068073,0.061988,-0.05414,0.1081,0.10461,-0.024483
0.11803,-0.036831,-0.01772,0.0039278,0.15444,-0.051688,0.070805,-0.13958,0.01807,0.035461
0.002044,0.045928,-0.038397,-0.042296,0.021752,-0.054949,0.10313,0.011788,-0.043335,0.026571
0.020525,-0.092026,0.070277,-0.026953,-0.063178,0.036736,-0.12769,0.040337,0.19321,-0.046104
0.017139,0.056348,0.05185,0.063866,0.043143,-0.023749,-0.021382,0.043126,-0.081441,0.040035
-0.070233,0.06101,0.0020167,0.12898,-0.12056,0.056262,0.075059,0.030402,0.0038877,-0.057034
-0.16277,-0.0052364,0.012692,-0.047029,-0.15315,-0.24463,0.13267,-0.011963,0.014891,0.15794
-0.096421,0.042351,0.057018,0.023257,-0.0080773,0.010752,-0.015078,0.052832,0.084173,0.021261
-0.014279,0.29935,-0.12895,-0.0021795,0.041442,-0.088649,-0.058947,0.063169,-0.22156,-0.063035
0.12994,0.030033,0.13671,0.11868,0.062342,-0.1151,0.029625,0.057368,-0.01577,0.081697
